time_ms,ax_raw_mps2,ay_raw_mps2,az_raw_mps2,ax_kf_mps2,ay_kf_mps2,az_kf_mps2,vx_2state_kf_lightlpf_mps,vy_2state_kf_lightlpf_mps,vz_2state_kf_lightlpf_mps,v_mag
365949.000000,-0.100000,0.150000,-0.010000,0.000000,0.058559,0.000000,-0.000038,0.000144,-0.000022,0.000150
365963.000000,-0.070000,0.140000,-0.020000,0.000000,0.035698,0.000000,0.000040,0.000173,-0.000096,0.000202
365977.000000,-0.090000,0.100000,0.010000,0.000000,0.021762,0.000000,0.000024,0.000028,-0.000028,0.000046
365991.000000,-0.100000,0.090000,0.000000,0.000000,0.013266,0.000000,-0.000033,-0.000111,-0.000010,0.000116
366008.000000,-0.090000,0.150000,0.010000,0.000000,0.066646,0.000000,-0.000030,0.000044,0.000033,0.000063
366022.000000,-0.090000,0.110000,0.000000,0.000000,0.040628,0.000000,-0.000023,0.000004,0.000020,0.000031
366039.000000,-0.080000,0.120000,0.000000,0.000000,0.024767,0.000000,0.000020,-0.000001,0.000007,0.000021
366053.000000,-0.070000,0.110000,0.020000,0.000000,0.015098,0.000000,0.000081,-0.000036,0.000073,0.000115
366070.000000,-0.080000,0.130000,-0.010000,0.000000,0.009204,0.000000,0.000079,0.000018,0.000004,0.000081
366087.000000,-0.080000,0.140000,-0.020000,0.000000,0.005611,0.000000,0.000070,0.000091,-0.000082,0.000141
366101.000000,-0.070000,0.110000,0.000000,0.000000,0.003421,0.000000,0.000103,0.000023,-0.000057,0.000119
366118.000000,-0.090000,0.120000,0.000000,0.000000,0.002085,0.000000,0.000047,0.000005,-0.000028,0.000055
366130.000000,-0.110000,0.130000,-0.010000,0.000000,0.001271,0.000000,-0.000055,0.000036,-0.000050,0.000083
366146.000000,-0.070000,0.140000,0.000000,0.000000,0.000775,0.000000,0.000023,0.000101,-0.000031,0.000109
366161.000000,-0.080000,0.130000,0.000000,0.000000,0.000472,0.000000,0.000048,0.000098,-0.000016,0.000110
366175.000000,-0.080000,0.100000,0.000000,0.000000,0.000288,0.000000,0.000057,-0.000020,-0.000008,0.000060
366189.000000,-0.090000,0.100000,0.010000,0.000000,0.000176,0.000000,0.000022,-0.000100,0.000032,0.000107
366203.000000,-0.090000,0.120000,0.000000,0.000000,0.000107,0.000000,-0.000002,-0.000065,0.000022,0.000069
366246.000000,-0.090000,0.130000,0.000000,0.000000,0.000065,0.000000,-0.000010,0.000016,0.000003,0.000019
366258.000000,-0.100000,0.120000,0.000000,0.000000,0.000040,0.000000,-0.000048,0.000013,0.000000,0.000050
366512.000000,-0.080000,0.140000,0.010000,0.000000,0.000024,0.000000,-0.000008,0.000081,0.000035,0.000088
366633.000000,0.310000,-1.980000,-0.050000,0.121020,-0.772954,0.000000,0.003337,-0.017509,-0.000155,0.017825
366833.000000,-5.870000,1.230000,5.560000,-2.217803,0.008976,2.170558,-0.044234,-0.013463,0.046429,0.065525
366847.000000,-5.930000,1.700000,8.010000,-3.667001,0.669132,4.450208,-0.118143,0.003435,0.141230,0.184161
